Player,Year,Age,Tm,Winner Tm,SecondPlace,Games,MinutesP,PTS,TRB,AST,STL,BLK,FG,3P,FT,WS,WS48,Winner
Kevin Durant,2014,25,OKC,SAS,MIA,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,.295,True
LeBron James,2014,29,MIA,SAS,MIA,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264,False
Blake Griffin,2014,24,LAC,SAS,MIA,80,35.8,24.1,9.5,3.9,1.2,0.6,.528,.273,.715,12.2,.205,False
Joakim Noah,2014,28,CHI,SAS,MIA,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,False
James Harden,2014,24,HOU,SAS,MIA,73,38.0,25.4,4.7,6.1,1.6,0.4,.456,.366,.866,12.8,.221,False
Stephen Curry,2014,25,GSW,SAS,MIA,78,36.5,24.0,4.3,8.5,1.6,0.2,.471,.424,.885,13.4,.225,False
Chris Paul,2014,28,LAC,SAS,MIA,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,.368,.855,12.2,.270,False
Al Jefferson,2014,29,CHA,SAS,MIA,73,35.0,21.8,10.8,2.1,0.9,1.1,.509,.200,.690,7.8,.146,False
Paul George,2014,23,IND,SAS,MIA,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,.364,.864,10.8,.178,False
LaMarcus Aldridge,2014,28,POR,SAS,MIA,69,36.2,23.2,11.1,2.6,0.9,1.0,.458,.200,.822,7.5,.144,False
Kevin Love,2014,25,MIN,SAS,MIA,77,36.3,26.1,12.5,4.4,0.8,0.5,.457,.376,.821,14.3,.245,False
Tim Duncan,2014,37,SAS,SAS,MIA,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,.000,.731,7.4,.164,False
Tony Parker,2014,31,SAS,SAS,MIA,68,29.4,16.7,2.3,5.7,0.5,0.1,.499,.373,.811,5.9,.141,False
Dirk Nowitzki,2014,35,DAL,SAS,MIA,80,32.9,21.7,6.2,2.7,0.9,0.6,.497,.398,.899,10.9,.199,False
Carmelo Anthony,2014,29,NYK,SAS,MIA,77,38.7,27.4,8.1,3.1,1.2,0.7,.452,.402,.848,10.7,.172,False
Goran Dragic,2014,27,PHO,SAS,MIA,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186,False
Mike Conley,2014,26,MEM,SAS,MIA,73,33.5,17.2,2.9,6.0,1.5,0.2,.450,.361,.815,8.2,.161,False
LeBron James,2013,28,MIA,MIA,SAS,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,.322,True
Kevin Durant,2013,24,OKC,MIA,SAS,81,38.5,28.1,7.9,4.6,1.4,1.3,.510,.416,.905,18.9,.291,False
Carmelo Anthony,2013,28,NYK,MIA,SAS,67,37.0,28.7,6.9,2.6,0.8,0.5,.449,.379,.830,9.5,.184,False
Chris Paul,2013,27,LAC,MIA,SAS,70,33.4,16.9,3.7,9.7,2.4,0.1,.481,.328,.885,13.9,.287,False
Kobe Bryant,2013,34,LAL,MIA,SAS,78,38.6,27.3,5.6,6.0,1.4,0.3,.463,.324,.839,10.9,.174,False
Tony Parker,2013,30,SAS,MIA,SAS,66,32.9,20.3,3.0,7.6,0.8,0.1,.522,.353,.845,9.3,.206,False
Tim Duncan,2013,36,SAS,MIA,SAS,69,30.1,17.8,9.9,2.7,0.7,2.7,.502,.286,.817,8.3,.191,False
James Harden,2013,23,HOU,MIA,SAS,78,38.3,25.9,4.9,5.8,1.8,0.5,.438,.368,.851,12.8,.206,False
